index,key,time_ns,steps
415,510312,1125,24
416,162317,1791,34
417,199123,917,18
418,311121,1125,21
419,228276,916,21
420,61325,1125,26
421,607315,1167,22
422,771477,917,16
423,568533,2000,36
424,63919,1791,30
425,784310,875,14
426,328839,833,17
427,59943,1167,19
428,52579,1167,25
429,612555,1125,20
430,499949,1791,33
431,527277,1083,24
432,964048,959,17
433,894142,1083,23
434,556927,834,19
435,165081,875,16
436,59643,3166,48
437,532497,1041,20
438,84003,1833,30
439,892698,2209,37
440,194852,958,21
441,71850,875,18
442,623940,1083,24
443,71263,834,19
444,708012,1083,20
445,903683,916,12
446,246630,2166,38
447,423390,833,19
448,125711,2000,35
449,987336,1000,15
450,933534,1083,23
451,597348,3083,47
452,258176,1167,21
453,607041,959,17
454,623399,1750,35
455,41673,917,19
456,649469,1083,25
457,85966,917,18
458,439590,1083,19
459,689306,1125,19
460,612025,916,14
461,592684,958,16
462,548178,833,17
463,331738,2083,39
464,980111,1125,16
465,273433,1833,31
466,214182,917,19
467,702259,1083,24
468,750982,917,14
469,329446,1084,21
470,250281,916,20
471,278518,875,14
472,415012,2083,40
473,137236,1041,19
474,704319,1666,30
475,676857,1875,34
476,314570,3916,61
477,479435,2959,43
478,331536,958,16
479,974147,1875,28
480,788388,958,19
481,981189,875,13
482,76067,1000,16
483,9768,1167,26
484,480548,791,14
485,651333,1167,26
486,590342,1167,20
487,104838,959,19
488,76820,1125,19
489,563751,1208,25
490,223509,917,20
491,530459,4125,48
492,278083,917,18
493,138891,917,18
494,978594,1167,21
495,365963,875,14
496,923654,2834,46
497,72133,1708,31
498,921982,875,18
499,256151,1166,26
500,387478,875,18
501,298831,1750,28
502,165410,1166,18
503,459470,1083,23
504,874245,875,15
505,569606,1166,21
506,737716,959,17
507,317213,958,17
508,641391,1208,23
509,846306,917,17
510,685744,959,20
511,554635,875,18
512,8204,1791,36
513,700306,916,16
514,856796,833,14
515,581543,1000,16
516,313922,1083,23
517,977018,1083,22
518,695614,1167,21
519,108619,959,20
520,984540,791,16
521,920783,1792,27
522,140815,1125,21
523,277313,958,18
524,121036,792,15
525,932932,833,16
526,112236,1084,22
527,778481,1791,33
528,580098,1166,19
529,162999,1083,23
530,285578,1084,21
531,295443,916,19
532,634211,1166,23
533,220862,916,17
534,752471,833,16
535,359537,1042,18
536,213488,1167,24
537,720893,1250,24
538,665047,2084,34
539,894344,958,17
540,276808,2875,45
541,529960,916,19
542,512263,916,16
543,263320,1083,21
544,949315,917,13
545,952274,917,18
546,887205,1083,21
547,53267,875,19
548,96782,958,21
549,665096,959,19
550,444152,1083,20
551,869635,4000,61
552,290121,1875,34
553,46229,1166,21
554,3718,1083,23
555,349760,1042,21
556,808578,1166,23
557,137175,4166,55
558,668062,1166,18
559,274681,1791,33
560,169431,1000,21
561,777237,875,20
562,463299,1125,24
563,578479,1916,31
564,739946,2125,32
565,448463,1792,29
566,588154,1833,34
567,10140,1208,22
568,117309,1125,22
569,78899,1125,25
570,990958,958,15
571,926005,958,17
572,724587,959,16
573,947838,958,17
574,156295,1791,31
575,572093,916,19
576,37779,1083,24
577,875137,1000,19
578,387152,1208,23
579,610806,1125,21
580,579365,875,19
581,155288,1000,16
582,450665,958,18
583,133637,1125,19
584,43861,2084,37
585,323233,1083,17
586,382365,1750,36
587,942651,1791,34
588,978414,1834,31
589,834795,1000,19
590,902513,917,18
591,41833,958,17
592,942591,834,20
593,375191,1291,25
594,220282,2125,35
595,715199,1041,18
596,261651,1041,18
597,699331,2916,43
598,107787,1250,18
599,370859,1875,29
600,818012,2166,39
601,587081,1000,20
602,927083,917,17
603,917203,1042,17
604,426118,1000,16
605,650811,1958,34
606,785885,1000,20
607,162061,875,19
608,970734,1959,37
609,975051,791,17
610,248238,3708,49
611,906605,1125,24
612,170396,1000,23
613,838743,833,19
614,850156,959,21
615,185653,916,19
616,924232,1000,24
617,432323,917,14
618,25991,1042,21
619,188074,2708,43
620,772344,1917,31
621,969396,875,19
622,348322,875,21
623,820392,917,19
624,976032,1000,21
625,431713,834,17
626,841205,833,18
627,702449,834,19
628,906037,1625,28
629,770764,792,15
630,850133,1917,37
631,260223,1167,23
632,279767,792,14
633,166932,1167,25
634,825623,875,19
635,735344,875,19
636,113347,1625,30
637,401125,1041,22
638,914534,833,14
639,40606,2667,46
640,900301,1125,25
641,493555,875,15
642,233239,833,17
643,209268,791,15
644,856254,875,19
645,963067,875,15
646,482663,792,18
647,366644,875,18
648,320016,1625,31
649,860395,875,17
650,833981,3000,43
651,913649,916,17
652,238652,875,19
653,233753,875,17
654,24814,1250,22
655,692095,1000,19
656,202512,1125,23
657,417822,1958,32
658,344208,1000,17
659,292137,1125,24
660,906340,875,18
661,72793,916,20
662,810892,2041,33
663,292684,1750,33
664,368204,959,18
665,672643,916,21
666,534151,958,20
667,419094,917,19
668,712527,959,15
669,884643,958,19
670,562263,1250,21
671,347236,1250,26
672,984862,916,16
673,28942,1875,32
674,120945,1875,30
675,919642,2083,31
676,273904,1000,18
677,187242,875,16
678,608793,1250,23
679,278362,875,18
680,40116,916,19
681,113669,916,17
682,625551,3208,48
683,455674,1167,19
684,362480,1209,25
685,763935,958,18
686,824630,958,19
687,328915,2125,41
688,457593,1041,19
689,635657,916,17
690,536266,1875,33
691,121264,916,20
692,403907,1084,20
693,943200,1833,30
694,604597,1208,22
695,199313,833,20
696,267096,1166,24
697,46543,875,19
698,743216,2000,39
699,457240,875,20
700,1774,1958,40
701,545176,1000,21
702,970536,1208,21
703,845688,917,20
704,564608,2084,36
705,720222,2083,40
706,754378,1000,16
707,985938,958,16
708,777992,3291,51
709,772841,1000,13
710,703205,1125,21
711,206607,1791,33
712,381914,1250,25
713,452249,2042,35
714,73373,1166,22
715,994968,1792,28
716,696504,917,21
717,965499,1125,23
718,346240,1000,19
719,653426,958,19
720,329165,959,21
721,695613,2041,34
722,889209,958,15
723,130680,1042,20
724,754718,959,19
725,943768,958,16
726,314911,959,18
727,531757,1291,23
728,324309,958,16
729,699288,9417,17
730,428232,1542,23
731,342028,1209,21
732,421948,1500,19
733,731077,1208,19
734,310017,917,18
735,581344,959,18
736,133471,916,17
737,201159,958,20
738,440870,2375,39
739,697230,1209,22
740,986043,958,16
741,397563,916,18
742,710220,2250,35
743,784476,1000,17
744,946661,791,14
745,182481,1291,23
746,645415,958,16
747,596751,2334,36
748,315569,1166,21
749,425801,3250,49
750,574554,4166,59
751,874225,1000,15
752,426,1166,23
753,318636,1166,21
754,300851,958,20
755,220393,1042,20
756,450771,959,18
757,823928,1208,22
758,608159,1250,25
759,636131,916,16
760,686509,916,18
761,337903,1042,18
762,487576,1208,18
763,463247,1042,15
764,463639,1209,25
765,708447,1041,18
766,224083,1167,23
767,536005,3125,43
768,496172,1000,21
769,832292,1250,24
770,944957,1208,20
771,834693,1209,21
772,771712,1042,17
773,177935,2417,40
774,690856,1166,18
775,88915,1000,19
776,297572,958,17
777,540491,1250,26
778,696102,1166,20
779,663687,1000,15
780,649343,1875,28
781,351471,4250,57
782,97924,5250,70
783,858180,1291,22
784,998244,1041,15
785,787626,1041,20
786,246278,1041,17
787,705478,1375,26
788,325499,1916,34
789,235553,2000,30
790,845743,2000,35
791,208803,1084,22
792,154512,3083,47
793,25612,1042,22
794,48459,1000,19
795,256737,1042,22
796,498217,1916,38
797,640968,1083,20
798,891015,1958,35
799,805820,1125,20
800,76366,1000,20
801,477539,2292,37
802,434573,1042,18
803,929182,1000,18
804,660357,1042,21
805,603635,1125,19
806,203881,1333,23
807,753241,1334,22
808,730181,1375,26
809,402631,1958,33
810,518393,1333,28
811,419067,1291,26
812,255837,1000,20
813,154740,1041,23
814,687927,2375,37
815,721025,3000,47
816,5815,1041,23
817,936022,3083,47
818,787444,1083,21
819,902238,1041,18
820,807452,1291,21
821,928478,1291,24
822,111765,1083,22
823,816233,1292,26
824,445799,1167,18
825,229472,2292,38
826,184431,1084,24
827,843171,1916,30
828,729717,1042,19
829,543119,1334,28
830,487116,1208,16
831,52658,2250,40
832,584483,1458,27
833,261304,1958,33
834,962038,1292,20
835,889546,1292,20
836,127254,2000,38
837,478635,1042,18
838,139817,1042,22
839,840347,1000,17
840,487214,959,17
841,700006,1083,21
842,556933,1041,23
843,586076,1375,27
844,624378,1125,21
845,332712,1333,25
846,996189,959,16
847,791938,1125,20
848,934728,2000,34
849,464072,2250,41
850,642413,1208,21
851,854597,1042,16
852,754214,1292,20
853,935352,1083,18
854,529299,1333,23
855,447471,1083,20
856,870915,3334,36
857,950907,1250,21
858,574486,1000,21
859,467575,1083,20
860,940791,1125,18
