index,key,time_ns,steps,deleted
540,316504,1459,24,1
541,500906,1125,24,1
542,754640,1417,27,1
543,301245,1125,25,1
544,982177,1209,22,1
545,482993,1333,25,1
546,228487,1250,24,1
547,39808,1125,26,1
548,435099,1375,26,1
549,765991,1208,26,1
550,276184,2000,29,1
551,199837,1167,27,1
552,301339,1000,23,1
553,999742,1250,19,1
554,134444,1333,25,1
555,582790,1416,26,1
556,200846,1208,26,1
557,185414,1375,23,1
558,187848,1250,28,1
559,870709,1333,25,1
560,388197,1250,27,1
561,674226,1208,25,1
562,337667,1208,22,1
563,745636,1209,22,1
564,416177,1125,22,1
565,147272,1292,24,1
566,158291,1375,22,1
567,100618,1167,24,1
568,526492,1125,25,1
569,567452,1209,25,1
570,808714,1125,23,1
571,638552,1167,25,1
572,619285,1208,24,1
573,595049,1500,27,1
574,71943,1167,26,1
575,426912,1167,22,1
576,566457,1375,28,1
577,455845,1208,23,1
578,474426,1125,25,1
579,492199,2167,34,1
580,515277,1292,25,1
581,462463,1291,24,1
582,527277,916,20,1
583,723847,1292,25,1
584,710860,1042,21,1
585,474752,1292,28,1
586,861614,1084,21,1
587,681434,1208,26,1
588,417501,1334,28,1
589,323405,1416,27,1
590,911878,1166,21,1
591,375480,1416,28,1
592,538170,1292,26,1
593,348049,1125,26,1
594,990172,1083,18,1
595,447953,1375,29,1
596,648134,1291,24,1
597,668508,1208,24,1
598,757169,1209,26,1
599,277512,1167,26,1
600,317330,1083,23,1
601,676910,1167,27,1
602,822459,1125,25,1
603,731511,1125,23,1
604,288340,1291,26,1
605,672551,1541,27,1
606,39179,1333,25,1
607,786627,1417,30,1
608,216917,1334,24,1
609,216900,1000,24,1
610,245885,1167,25,1
611,169835,1167,27,1
612,886089,1292,23,1
613,860900,1166,19,1
614,70635,958,21,1
615,902593,1584,25,1
616,645973,1208,25,1
617,76366,1375,26,1
618,967157,916,17,1
619,775508,1292,23,1
620,444921,1292,27,1
621,112609,1250,24,1
622,85956,1208,27,1
623,783172,1375,26,1
624,280440,1166,25,1
625,763935,1250,25,1
626,183701,1250,24,1
627,700675,1291,26,1
628,395020,1250,24,1
629,836224,1292,23,1
630,163918,2375,30,1
631,987336,1209,23,1
632,386163,1250,25,1
633,859927,1208,25,1
634,736110,1292,25,1
635,4549,1209,27,1
636,212687,1041,24,1
637,572968,1208,22,1
638,275618,1209,28,1
639,334641,1250,23,1
640,734765,1166,25,1
641,955763,1250,24,1
642,251517,1208,26,1
643,849885,1625,28,1
644,391173,1083,26,1
645,192848,1292,26,1
646,79722,1250,25,1
647,521801,1083,24,1
648,769934,1209,27,1
649,522708,1375,28,1
650,622666,1083,19,1
651,319626,1542,27,1
652,773936,1208,27,1
653,191664,1125,26,1
654,1344,1458,26,1
655,555133,1209,25,1
656,57702,1208,28,1
657,339163,1250,23,1
658,884757,1500,19,1
659,641675,1250,26,1
660,630890,1250,21,1
661,14836,1125,26,1
662,716319,1250,24,1
663,45241,1459,28,1
664,215566,1250,25,1
665,921184,1250,23,1
666,645513,1209,25,1
667,95360,1375,28,1
668,257667,1625,28,1
669,323332,1208,26,1
670,628472,1209,22,1
671,406882,1250,22,1
672,781440,1375,24,1
673,735382,1291,25,1
674,551500,1166,25,1
675,409387,1291,27,1
676,217006,1166,25,1
677,295193,1291,22,1
678,485101,1250,26,1
679,269827,1500,23,1
680,432323,7083,27,1
681,791094,1250,25,1
682,489369,1166,24,1
683,822073,1250,25,1
684,777573,1583,27,1
685,47441,1166,29,1
686,63919,1167,28,1
687,79185,1375,25,1
688,52513,1041,22,1
689,178896,1208,25,1
690,314528,1209,24,1
691,687437,1208,24,1
692,926337,1209,18,1
693,386840,1292,26,1
694,338274,1333,23,1
695,835541,1875,27,1
696,6694,1166,27,1
697,412345,1250,27,1
698,270329,1208,20,1
699,6815,1833,30,1
700,922447,1417,20,1
701,240821,1500,24,1
702,339659,1583,22,1
703,960912,1750,23,1
704,510857,4625,33,1
705,471779,1291,24,1
706,347236,1292,23,1
707,87890,1250,25,1
708,450138,1208,25,1
709,323402,1334,27,1
710,389440,1334,26,1
711,26986,1292,25,1
712,139450,1208,25,1
713,413508,1083,23,1
714,480548,1333,24,1
715,344526,1375,29,1
716,979678,1208,22,1
717,791084,1417,28,1
718,316283,1250,25,1
719,138206,1291,22,1
720,179595,279125,36,1
721,24907,1458,24,1
722,91929,1250,24,1
723,502301,1208,21,1
724,767542,1292,25,1
725,923426,1292,22,1
726,391226,1334,27,1
727,613763,1208,21,1
728,162326,1292,21,1
729,143694,1000,22,1
730,320524,1542,26,1
731,413698,1500,28,1
732,676150,1459,27,1
733,96169,1250,26,1
734,592283,1333,26,1
735,630344,1167,19,1
736,705512,1333,25,1
737,746747,1166,23,1
738,796029,1416,29,1
739,382615,2541,34,1
740,600522,1917,28,1
741,431737,1208,27,1
742,757751,1291,26,1
743,530830,1250,24,1
744,981189,916,16,1
745,572134,1166,22,1
746,119782,1208,23,1
747,813595,1292,25,1
748,673871,1167,24,1
749,256788,1417,28,1
750,233087,1125,22,1
751,7569,1209,27,1
752,282968,1250,24,1
753,59943,1125,26,1
754,463174,1250,24,1
755,611034,1208,24,1
756,861502,1500,26,1
757,470406,1250,23,1
758,636746,1583,29,1
759,123366,1208,28,1
760,840065,1208,23,1
761,360573,1208,24,1
762,480719,2250,33,1
763,223096,1250,26,1
764,186041,1125,25,1
765,121036,1250,27,1
766,587081,1125,20,1
767,511541,1250,27,1
768,426171,1208,23,1
769,637461,1167,25,1
770,417376,1209,26,1
771,578044,1167,23,1
772,149290,1250,22,1
773,425111,1917,28,1
774,889323,1291,23,1
775,583636,1125,25,1
776,126602,1042,23,1
777,796457,1125,26,1
778,509598,1417,30,1
779,433974,1209,25,1
780,462237,1458,27,1
781,145309,1292,24,1
782,606575,1334,25,1
783,450247,1167,23,1
784,521547,1334,26,1
785,987138,1291,20,1
786,716587,1375,23,1
787,592386,2334,35,1
788,611681,1333,23,1
789,592100,1209,20,1
790,347656,1333,25,1
791,662653,1375,25,1
792,937287,1375,21,1
793,271225,1500,28,1
794,323994,1708,27,1
795,47490,1542,30,1
796,423014,1417,26,1
797,98043,1375,24,1
798,788670,2375,34,1
799,770215,1334,26,1
800,288087,1416,26,1
801,613544,1250,21,1
802,578084,1500,26,1
803,588427,1542,29,1
804,295308,1375,23,1
805,882418,1334,23,1
806,783301,2292,30,1
807,228183,1375,25,1
808,136829,1583,28,1
809,836508,1334,25,1
810,898724,1375,23,1
811,714826,1417,27,1
812,901105,1167,22,1
813,230647,1375,24,1
814,161713,1333,22,1
815,212617,1459,27,1
816,210549,1209,25,1
817,664927,875,14,1
818,737624,1416,24,1
819,772400,1459,26,1
820,301660,3125,36,1
821,584005,1417,26,1
822,958973,1250,20,1
823,285321,1292,25,1
824,965660,1167,20,1
825,804813,1334,24,1
826,432962,1458,28,1
827,962490,1375,22,1
828,327306,1416,25,1
829,707054,1291,22,1
830,211728,1209,27,1
831,929923,1416,25,1
832,505255,1375,23,1
833,483758,1458,24,1
834,729929,1417,25,1
835,153542,1333,24,1
836,107571,1416,26,1
837,309446,1333,25,1
838,464524,1209,22,1
839,46490,1583,26,1
840,942651,1292,23,1
841,127768,1333,25,1
842,533542,2667,39,1
843,564366,1417,24,1
844,544560,1500,24,1
845,298506,1541,26,1
846,94931,2625,35,1
847,336769,1292,23,1
848,501904,1541,24,1
849,78958,1208,20,1
850,167139,1417,27,1
851,578116,2750,33,1
852,134160,1375,25,1
853,593128,1250,23,1
854,368901,1458,26,1
855,477111,2542,33,1
856,505530,1542,25,1
857,914966,1333,22,1
858,435613,1333,25,1
859,750801,1500,26,1
860,540547,1458,26,1
861,838339,1250,23,1
862,505140,1375,24,1
863,76820,1375,25,1
864,161631,1375,23,1
865,276968,1375,27,1
866,982154,1541,24,1
867,346923,1167,24,1
868,588535,1583,29,1
869,218573,1333,26,1
870,82301,2292,33,1
871,120117,1166,21,1
